Data,Est.class,Peak,AR,Dimming
2010-6-12,M4,01:00,AR1081,18
2010-6-12,M2,09:20,AR1081,15
2010-6-13,M2,05:42,,31
2010-6-14,C2,00:54,AR1081,5
2010-7-8,C1,22:20,,10
2010-7-9,C2,09:02,,8
2010-7-9,C5,19:54,,35
2010-7-13,C8,10:50,AR1087,3
2010-7-13,M2,10:54,,1
2010-7-17,C4,18:04,AR1087,32
2010-7-20,C1,09:44,AR1089,7
2010-7-20,C2,13:48,AR1089,10
2010-7-21,C1,14:42,,13
2010-7-22,C1,12:20,AR1089,10
2010-7-22,C1,21:42,AR1089,9
2010-7-23,C1,15:30,AR1089,9
2010-7-27,C3,04:30,AR1089,24
2010-7-28,C1,13:10,AR1089,8
2010-7-28,C4,20:48,AR1089,8
2010-7-30,C2,02:28,AR1092,11
2010-8-1,C4,09:26,AR1092,32
2010-8-7,C1,18:10,AR1093,4
2010-8-7,M1,18:14,,1
2010-8-7,M2,18:20,AR1093,4
2010-8-7,M2,18:32,AR1093,61
2010-8-14,C7,10:14,AR1093,51
2010-8-14,C3,18:08,AR1099,9
2010-8-15,C7,18:34,AR1099,23
2010-8-18,C7,05:56,,88
2010-9-6,C2,15:00,AR1105,12
2010-9-8,C7,23:46,,54
2010-9-15,C1,17:20,,8
2010-9-28,C3,09:52,AR1110,12
2010-9-28,C2,22:14,AR1110,7
2010-10-4,C3,16:42,,12
2010-10-16,M4,19:14,AR1112,21
2010-10-17,C2,09:02,AR1112,12
2010-10-17,C1,11:00,AR1112,8
2010-10-17,C2,17:42,AR1112,9
2010-10-18,C2,11:48,AR1112,13
2010-10-18,C4,17:02,AR1112,30
2010-10-18,C2,21:42,AR1112,14
2010-10-19,C1,06:52,AR1112,10
2010-10-25,C3,22:16,AR1117,10
2010-10-26,C1,00:36,AR1117,14
2010-10-26,C1,01:18,AR1117,13
2010-10-26,C1,08:14,AR1119,4
2010-10-27,C1,06:14,AR1117,8
2010-10-27,C1,17:06,AR1117,7
2010-10-31,C1,03:20,AR1117,4
2010-10-31,C4,04:34,AR1117,16
2010-11-1,C2,04:46,,8
2010-11-3,C4,06:20,,23
2010-11-3,C4,14:02,,87
2010-11-4,C2,03:00,,15
2010-11-4,M3,01:04,,87
2010-11-5,M1,13:30,,78
2010-11-6,C3,02:46,AR1121,24
2010-11-6,C5,04:48,AR1121,17
2010-11-6,C1,08:06,AR1121,8
2010-11-6,C2,08:58,AR1121,23
2010-11-6,X1,15:40,AR1121,92
2010-11-7,C5,01:44,AR1121,23
2010-11-11,C4,02:18,AR1123,19
2010-11-11,M1,07:26,AR1123,7
2010-11-11,C3,07:38,AR1123,11
2010-11-11,C3,13:10,AR1123,10
2010-11-11,C4,16:20,AR1123,22
2010-11-11,C1,19:04,AR1124,6
2010-11-11,C1,19:32,AR1123,6
2010-11-11,C1,19:46,AR1124,5
2010-11-12,C6,01:36,AR1123,5
2010-11-12,C1,03:54,AR1123,16
2010-11-12,C2,05:24,AR1123,15
2010-11-12,C3,08:14,AR1123,18
2010-11-12,C2,13:58,AR1123,17
2010-11-13,C2,11:44,AR1123,12
2010-11-15,C3,07:56,AR1124,25
2010-11-15,C1,12:00,AR1124,11
2010-11-15,C1,22:32,AR1126,5
2010-12-1,C2,06:28,AR1130,13
2010-12-15,C6,06:48,,20
2010-12-31,C2,04:28,AR1138,10
2010-12-31,C1,19:36,,5
2011-1-3,C1,23:42,AR1142,9
2011-1-4,C1,03:26,AR1141,4
2011-1-14,C1,13:16,,14
2011-1-17,C1,21:54,AR1147,10
2011-1-21,C4,04:18,AR1147,9
2011-1-21,C1,14:40,AR1147,13
2011-1-21,C3,17:14,AR1147,9
2011-1-21,C1,19:16,AR1147,19
2011-1-21,C1,20:34,AR1147,19
2011-1-22,C2,08:38,AR1149,25
2011-1-24,C2,06:24,AR1149,18
2011-1-28,M2,01:10,,38
2011-1-28,C2,04:30,,13
