Date,Time,Observed Flux
2010-01-01,18:00:00,79.1
2010-01-01,20:00:00,75.2
2010-01-01,22:00:00,75.9
2010-01-02,18:00:00,80.1
2010-01-02,20:00:00,78.0
2010-01-02,22:00:00,77.3
2010-01-03,18:00:00,77.6
2010-01-03,20:00:00,76.4
2010-01-03,22:00:00,74.8
2010-01-04,18:00:00,74.5
2010-01-04,20:00:00,73.0
2010-01-05,18:00:00,75.2
2010-01-05,20:00:00,76.8
2010-01-05,22:00:00,75.1
2010-01-06,18:00:00,77.8
2010-01-06,20:00:00,77.3
2010-01-06,22:00:00,76.1
2010-01-07,18:00:00,79.2
2010-01-07,20:00:00,78.1
2010-01-07,22:00:00,76.3
2010-01-08,18:00:00,80.2
2010-01-08,20:00:00,77.4
2010-01-08,22:00:00,76.6
2010-01-09,18:00:00,83.2
2010-01-09,20:00:00,81.7
2010-01-09,22:00:00,80.5
2010-01-10,18:00:00,85.3
2010-01-10,20:00:00,84.4
2010-01-10,22:00:00,83.5
2010-01-11,18:00:00,90.8
2010-01-11,20:00:00,89.2
2010-01-11,22:00:00,87.7
2010-01-12,18:00:00,95.4
2010-01-12,20:00:00,93.3
2010-01-12,22:00:00,90.8
2010-01-13,18:00:00,93.0
2010-01-13,20:00:00,90.5
2010-01-13,22:00:00,88.5
2010-01-14,18:00:00,90.8
2010-01-14,20:00:00,89.9
2010-01-14,22:00:00,91.2
2010-01-15,18:00:00,88.6
2010-01-15,20:00:00,85.3
2010-01-15,22:00:00,84.9
2010-01-16,18:00:00,86.9
2010-01-16,20:00:00,84.2
2010-01-16,22:00:00,81.7
2010-01-17,18:00:00,85.5
2010-01-17,20:00:00,82.6
2010-01-17,22:00:00,81.4
2010-01-18,18:00:00,82.2
2010-01-18,20:00:00,81.5
2010-01-18,22:00:00,81.3
2010-01-19,18:00:00,84.4
2010-01-19,20:00:00,84.2
2010-01-19,22:00:00,82.4
2010-01-20,18:00:00,85.5
2010-01-20,20:00:00,81.7
2010-01-20,22:00:00,80.6
2010-01-21,18:00:00,84.1
2010-01-21,20:00:00,82.6
2010-01-21,22:00:00,80.5
2010-01-22,18:00:00,84.6
2010-01-22,20:00:00,82.4
2010-01-22,22:00:00,81.7
2010-01-23,18:00:00,86.2
2010-01-23,20:00:00,84.6
2010-01-23,22:00:00,83.1
2010-01-24,18:00:00,85.1
2010-01-24,20:00:00,84.6
2010-01-24,22:00:00,83.1
2010-01-25,18:00:00,83.3
2010-01-25,20:00:00,81.2
2010-01-25,22:00:00,78.3
2010-01-26,18:00:00,81.7
2010-01-26,20:00:00,79.8
2010-01-26,22:00:00,78.2
2010-01-27,18:00:00,78.5
2010-01-27,20:00:00,77.8
2010-01-27,22:00:00,76.1
2010-01-28,18:00:00,77.5
2010-01-28,20:00:00,76.3
2010-01-28,22:00:00,75.2
2010-01-29,18:00:00,75.5
2010-01-29,20:00:00,73.3
2010-01-29,22:00:00,71.9
2010-01-30,18:00:00,77.0
